GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hillel_calculator,com.nikitchyn.homework12,Main,125,0,17,0,41,0,15,0,4,0
hillel_calculator,com.nikitchyn.homework12,DrinksMachine,115,0,4,0,16,0,6,0,4,0
hillel_calculator,com.nikitchyn.homework12,Drinks,228,0,0,0,29,0,10,0,10,0
hillel_calculator,com.nikitchyn.homework11,Main,160,0,6,0,27,0,7,0,4,0
hillel_calculator,com.nikitchyn.homework11,AccountClient,151,0,0,0,29,0,8,0,8,0
hillel_calculator,com.nikitchyn.homework14,Calculator,0,63,1,8,0,15,1,11,0,6
hillel_calculator,com.nikitchyn.homework14,Operation,0,81,0,4,0,12,0,5,0,3
hillel_calculator,com.nikitchyn.homework15,Calculator,1,163,2,16,0,31,2,18,0,8
hillel_calculator,com.nikitchyn.homework15,CalculatorException,0,4,0,0,0,2,0,1,0,1
hillel_calculator,com.nikitchyn.homework15,Main,49,0,0,0,15,0,3,0,3,0
hillel_calculator,com.nikitchyn.homework15,Operation,0,81,0,4,0,12,0,5,0,3
hillel_calculator,com.nikitchyn.homework5,InputAnalysis,77,0,6,0,13,0,5,0,2,0
hillel_calculator,com.nikitchyn.homework5,InputDouble,56,0,4,0,12,0,5,0,3,0
hillel_calculator,com.nikitchyn.homework4,Zoo,288,0,0,0,43,0,7,0,7,0
hillel_calculator,com.nikitchyn.homework4,RecursionZoo,41,0,2,0,8,0,4,0,3,0
hillel_calculator,com.nikitchyn.homework4,Person,41,0,0,0,6,0,3,0,3,0
hillel_calculator,com.nikitchyn.homework7,MinMaxArray,187,0,18,0,36,0,15,0,6,0
hillel_calculator,com.nikitchyn.homework7,PlayersAge,115,0,2,0,16,0,4,0,3,0
hillel_calculator,com.nikitchyn.homework6,ShatlNum,53,0,6,0,15,0,6,0,3,0
hillel_calculator,com.nikitchyn.homework6,OutputConsole,52,0,6,0,8,0,5,0,2,0
hillel_calculator,com.nikitchyn.homework6,MethodFibonacci,57,0,2,0,11,0,3,0,2,0
hillel_calculator,com.nikitchyn.homework10,BurgerVeg,12,0,0,0,5,0,3,0,3,0
hillel_calculator,com.nikitchyn.homework10,Burger,96,0,10,0,21,0,10,0,5,0
hillel_calculator,com.nikitchyn.homework10,Main,56,0,0,0,9,0,2,0,2,0
hillel_calculator,com.nikitchyn.homework10,BurgerTwoMeet,13,0,0,0,5,0,3,0,3,0
hillel_calculator,com.nikitchyn.homework10,BurgerHouse,29,0,0,0,4,0,4,0,4,0
hillel_calculator,com.nikitchyn.homework3,RangeRandom,49,0,0,0,9,0,2,0,2,0
hillel_calculator,com.nikitchyn.homework3,AttackRate,60,0,0,0,14,0,2,0,2,0
hillel_calculator,com.nikitchyn.homework3,VolumeBullet,45,0,0,0,9,0,2,0,2,0
hillel_calculator,com.nikitchyn.homework2,Parallelepiped,72,0,0,0,14,0,2,0,2,0
hillel_calculator,com.nikitchyn.homework9,MathOperMatrix,217,0,18,0,40,0,17,0,8,0
hillel_calculator,com.nikitchyn.homework9,TransportMatrix,172,0,16,0,39,0,16,0,8,0
hillel_calculator,com.nikitchyn.homework8,Lottery,155,0,12,0,39,0,13,0,7,0
hillel_calculator,com.nikitchyn.homework8,BinarySearch,200,0,18,0,44,0,16,0,7,0
hillel_calculator,com.nikitchyn.homework13.task3,IPhones,21,0,0,0,10,0,6,0,6,0
hillel_calculator,com.nikitchyn.homework13.task3,Androids,21,0,0,0,10,0,6,0,6,0
hillel_calculator,com.nikitchyn.homework13.task3,Main,75,0,6,0,16,0,5,0,2,0
hillel_calculator,com.nikitchyn.homework13.task2,StringRegExp,84,0,2,0,9,0,4,0,3,0
hillel_calculator,com.nikitchyn.homework13.task1,StringUnique,43,0,4,0,10,0,5,0,3,0
